A001n_PN1c_00001-5	reltype=ob	['９', '年', 'し', '留学']	９５―９７年、中国・北京大に留学し、帰国後に双子を出産。	['1', '4', '6', '13']
A024n_PN3a_00002-35	reltype=after	['２', '０', '願っ', '大尉', '見', '瞬間', '倒さ']	２３・５０（１７・５０）[JSP]米空母キティホーク艦上で、像が倒された瞬間をテレビで見た軍医ロルフ・シュミット大尉は、「戦争が終わってうれしい。これ以上、命が失われないことを願っている」。	['1', '5', '11', '22', '25', '29', '35']
A024n_PN3a_00002-35	reltype=after	['１', '０', '願っ', '大尉', '見', '瞬間', '倒さ']	２３・５０（１７・５０）[JSP]米空母キティホーク艦上で、像が倒された瞬間をテレビで見た軍医ロルフ・シュミット大尉は、「戦争が終わってうれしい。これ以上、命が失われないことを願っている」。	['5', '7', '11', '22', '25', '29', '35']
A024n_PN3a_00002-40	reltype=overlap	['１', '日', 'なる']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['15', '17', '30']
A024n_PN3a_00002-40	reltype=overlap	['１', '日', 'なる', 'さ']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['15', '17', '30', '32']
A024n_PN3a_00002-40	reltype=after	['１', '日', 'なる', 'さ', '受け']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['15', '17', '30', '32', '36']
A024n_PN3a_00002-40	reltype=after	['１', '日', 'なる', 'さ', '受け', '協議', 'まとまら', '反対', '米国', '求め']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['15', '17', '30', '32', '36', '38', '51', '53', '60', '68']
A024n_PN3a_00002-40	reltype=after	['１', '日', 'なる', 'さ', '受け', '協議', 'まとまら']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['15', '17', '30', '32', '36', '38', '68']
A024n_PN3a_00002-40	reltype=before	['９', '日間', '切れ', 'なる']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['19', '21', '28', '30']
A024n_PN3a_00002-40	reltype=overlap	['９', '日間', '切れ', 'なる', 'さ', '受け']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['19', '21', '28', '30', '32', '36']
A024n_PN3a_00002-40	reltype=overlap	['９', '日間', '切れ', 'なる', 'さ', '受け', '協議', 'まとまら', '反対', '米国', '求め']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['19', '21', '28', '30', '32', '36', '38', '51', '53', '60', '68']
A024n_PN3a_00002-40	reltype=overlap	['９', '日間', '切れ', 'なる', 'さ', '受け', '協議', 'まとまら']	北朝鮮の核不拡散条約（ＮＰＴ）からの脱退宣言が１０日に９０日間の「脱退通告期間」切れとなるとされるのを受けた協議だが、安保理議長による非難声明を出すよう求めた米国に対し、中国が強く反対、具体的な対応策はまとまらなかった。	['19', '21', '28', '30', '32', '36', '38', '68']
A024n_PN3a_00002-44	reltype=overlap	['２', '日', '移っ', '受け']	[JSP]北朝鮮の核問題は２月１９日に国際原子力機関（ＩＡＥＡ）の付託を受け安保理に舞台が移ったが、実務レベルで協議するにとどまっていた。	['7', '11', '23', '28']
A024n_PN3a_00002-44	reltype=overlap	['２', '日', '移っ']	[JSP]北朝鮮の核問題は２月１９日に国際原子力機関（ＩＡＥＡ）の付託を受け安保理に舞台が移ったが、実務レベルで協議するにとどまっていた。	['7', '11', '28']
A024n_PN3a_00002-44	reltype=before	['２', '日', '移っ', 'とどまっ', 'する', '協議']	[JSP]北朝鮮の核問題は２月１９日に国際原子力機関（ＩＡＥＡ）の付託を受け安保理に舞台が移ったが、実務レベルで協議するにとどまっていた。	['7', '11', '28', '35', '36', '38']
A024n_PN3a_00002-44	reltype=before	['２', '日', '移っ', 'とどまっ']	[JSP]北朝鮮の核問題は２月１９日に国際原子力機関（ＩＡＥＡ）の付託を受け安保理に舞台が移ったが、実務レベルで協議するにとどまっていた。	['7', '11', '28', '38']
A025n_PN3c_00002-8	reltype=before	['十', '日', 'し', '述べ', '役立つ']	[JSP]ドビルパン仏外相は十八日、仏記者団との内輪の懇談で、米欧対立の解消に向け、「フセイン拘束が大いに役立つ」と述べ、独露両国と“反戦連合”を組んだ仏政府にも、イラク再建に積極関与していく環境が整ってきたことを強調した。	['6', '8', '32', '35', '57']
A025n_PN3c_00002-8	reltype=after	['十', '日', 'し', 'こと', '整っ', '政府', '組ん']	[JSP]ドビルパン仏外相は十八日、仏記者団との内輪の懇談で、米欧対立の解消に向け、「フセイン拘束が大いに役立つ」と述べ、独露両国と“反戦連合”を組んだ仏政府にも、イラク再建に積極関与していく環境が整ってきたことを強調した。	['6', '8', '45', '48', '57', '62', '66']
A025n_PN3c_00002-8	reltype=overlap	['十', '日', 'し', '強調']	[JSP]ドビルパン仏外相は十八日、仏記者団との内輪の懇談で、米欧対立の解消に向け、「フセイン拘束が大いに役立つ」と述べ、独露両国と“反戦連合”を組んだ仏政府にも、イラク再建に積極関与していく環境が整ってきたことを強調した。	['6', '8', '57', '68']
A025n_PN3c_00002-22	reltype=before	['十', '月', '会議', 'よう', '再建', '話し合う']	このため、ドビルパン外相は「さる十月のマドリード支援国会議のような、政治的再建を話し合う国際会議を開催してはどうか」と提言する。	['9', '10', '15', '17', '22', '24']
A025n_PN3c_00002-22	reltype=before	['十', '月', '会議', 'よう', '再建', '話し合う', '会議', 'し', '開催']	このため、ドビルパン外相は「さる十月のマドリード支援国会議のような、政治的再建を話し合う国際会議を開催してはどうか」と提言する。	['9', '10', '15', '17', '22', '24', '26', '28', '29']
A025n_PN3c_00002-22	reltype=before	['十', '月', '会議', 'よう', '再建', '話し合う', '会議', 'し', 'どう', 'する', '提言']	このため、ドビルパン外相は「さる十月のマドリード支援国会議のような、政治的再建を話し合う国際会議を開催してはどうか」と提言する。	['9', '10', '15', '17', '22', '24', '26', '29', '32', '36', '37']
A026n_PN3d_00002-5	reltype=after	['九', '日', '後', 'し', '大統領', '問題', '付い', '情報', '兵器', 'さ', '先立っ']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['5', '8', '15', '18', '23', '26', '31', '33', '34', '37', '46']
A026n_PN3d_00002-5	reltype=after	['九', '日', '後', 'し', '大統領', '問題', '付い', '情報', '兵器', 'さ', '公表']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['7', '8', '15', '18', '23', '26', '31', '33', '34', '37', '46']
A026n_PN3d_00002-5	reltype=overlap	['九', '日', '後', 'し', '大統領', '問題', '付い']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['23', '26', '31', '33', '34', '37', '61']
A026n_PN3d_00002-5	reltype=after	['九', '日', '後', 'し', 'し', 'もの', '突き止め', 'こと', 'あっ']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '34', '37', '50', '52', '54', '56', '61', '69']
A026n_PN3d_00002-5	reltype=before	['九', '日', '後', 'し', 'し', 'もの', '突き止め']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '34', '37', '54', '56', '61', '69']
A026n_PN3d_00002-5	reltype=overlap	['九', '日', '後', 'し', 'し', '確信']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '34', '37', '60', '61', '69']
A026n_PN3d_00002-5	reltype=overlap	['九', '日', '後', 'し', '表明']	[JSP]イラク戦争に先立って公表された同国の大量破壊兵器に関する情報に疑問符が付いている問題で、ブッシュ米大統領は九日の閣議後に記者団に対し「大量破壊兵器開発計画があったことを突き止められるものと間違いなく確信している」と自信を表明した。	['33', '34', '37', '61', '68']
A026n_PN3d_00002-6	reltype=overlap	['前日', '日', 'し', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '13', '14']
A026n_PN3d_00002-6	reltype=after	['前日', '日', 'し', '番組', 'し', '明かし', 'こと', 'し', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '14', '20', '46', '47', '49', '60', '73']
A026n_PN3d_00002-6	reltype=after	['前日', '日', 'し', '番組', 'し', '明かし', '情報', 'し', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '14', '20', '44', '47', '59', '60', '65']
A026n_PN3d_00002-6	reltype=overlap	['前日', '日', 'し', '番組', 'し', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '14', '20', '47', '60']
A026n_PN3d_00002-6	reltype=before	['前日', '日', 'し', '番組', 'し', 'し', 'こと', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '14', '20', '47', '49', '60', '81']
A026n_PN3d_00002-6	reltype=overlap	['前日', '日', 'し', '番組', 'し', 'し', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['8', '11', '14', '20', '47', '60', '84']
A026n_PN3d_00002-6	reltype=overlap	['八', '日', 'し', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '11', '13', '14']
A026n_PN3d_00002-6	reltype=after	['八', '日', 'し', '番組', 'し', '明かし', 'こと', 'し', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '11', '14', '20', '46', '47', '49', '60', '73']
A026n_PN3d_00002-6	reltype=after	['八', '日', 'し', '番組', 'し', '明かし', '情報', 'し', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '11', '14', '20', '44', '47', '59', '60', '65']
A026n_PN3d_00002-6	reltype=before	['八', '日', 'し', '番組', 'し', 'し', 'こと', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '11', '14', '20', '47', '49', '60', '81']
A026n_PN3d_00002-6	reltype=overlap	['八', '日', 'し', '番組', 'し', 'し', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['10', '11', '14', '20', '47', '60', '84']
A026n_PN3d_00002-6	reltype=overlap	['二', '月', 'し', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '26', '27', '46']
A026n_PN3d_00002-6	reltype=before	['二', '月', 'し', 'こと', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '26', '27', '47', '49']
A026n_PN3d_00002-6	reltype=before	['二', '月', 'し', 'こと', '明かし', 'し', 'し', 'こと', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '26', '27', '47', '49', '60', '73', '81', '82']
A026n_PN3d_00002-6	reltype=before	['二', '月', 'し', 'こと', '明かし', 'し', 'し', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '26', '27', '47', '49', '60', '73', '82']
A026n_PN3d_00002-6	reltype=before	['二', '月', 'し', 'こと', '明かし', 'し', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '26', '27', '47', '49', '60', '73']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし', 'し', '番組', 'し', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['13', '14', '20', '44', '47', '54', '55', '60', '65']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし', 'こと', 'し', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '46', '47', '49', '54', '55', '60']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '47', '54', '55']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし', 'し', 'し', 'こと', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '47', '49', '54', '55', '60', '65', '69']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし', 'し', 'し', '確信']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '47', '54', '55', '60', '65', '69']
A026n_PN3d_00002-6	reltype=before	['四', '日間', 'し', '情報', '明かし', 'し', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '47', '54', '55', '60', '65']
A026n_PN3d_00002-6	reltype=after	['今後', '見つかる', 'こと', 'し', 'し', '番組', 'し', '出演']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['13', '14', '20', '47', '49', '60', '75', '81']
A026n_PN3d_00002-6	reltype=after	['今後', '見つかる', 'こと', 'し', 'し', '明かし', 'こと', 'し', '開示']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '46', '47', '49', '60', '73', '75', '81', '82']
A026n_PN3d_00002-6	reltype=after	['今後', '見つかる', 'こと', 'し', 'し', '明かし', '情報', 'し', '精査']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '44', '47', '49', '59', '60', '65', '69', '73']
A026n_PN3d_00002-6	reltype=after	['今後', '見つかる', 'こと', 'し', 'し', '明かし']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '47', '49', '60', '73', '75']
A026n_PN3d_00002-6	reltype=overlap	['今後', '見つかる']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['75', '81']
A026n_PN3d_00002-6	reltype=after	['今後', '見つかる', 'こと', 'し', 'し', '言明']	[JSP]パウエル米国務長官も、前日の八日に出演した米ＦＯＸニュースの番組で、戦争前の二月に、国連安全保障理事会でイラクの大量破壊兵器隠匿の機密情報を開示したことについて「四日間、夜通しで精査したＣＩＡ（中央情報局）の情報だ」と明かし「今後、隠匿の証拠が見つかることを確信している」と言明した。	['14', '47', '49', '60', '75', '81']
A026n_PN3d_00002-13	reltype=overlap	['同日', '訴え', 'し', 'し']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '29', '61', '70']
A026n_PN3d_00002-13	reltype=overlap	['同日', '訴え', 'し']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '29', '61']
A026n_PN3d_00002-13	reltype=overlap	['同日', '訴え']	[JSP]米上院軍事委員会のレビン議員（民主党）は同日、ＮＢＣテレビで、米国の威信にかかわる問題だとし「テロとの戦いで各国を率いていくには、米国が表明することは事実であるという信頼が不可欠だ」として、議会での徹底究明を訴えた。	['15', '70']
A026n_PN3d_00002-14	reltype=overlap	['同日', 'し', '一方', '示す']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '33', '34', '55']
A026n_PN3d_00002-14	reltype=after	['同日', 'し', 'でっちあげ', '得']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '50', '55', '60']
A026n_PN3d_00002-14	reltype=overlap	['同日', 'し', '指摘']	[JSP]民主党の大統領候補の一人、ゲッパート前下院院内総務は同日、大量破壊兵器開発の証拠発見はこれからだとの見解を示す一方、「ブッシュ大統領をはじめ、世界の指導者が偽情報を得ていたとしたら、驚くべきでっちあげだ」とも指摘した。	['16', '55', '65']
A026n_PN3d_00002-15	reltype=after	['同日', 'し', 'し', '尚早', 'する', '扱わ']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '31', '38', '42', '45', '65']
A026n_PN3d_00002-15	reltype=before	['同日', 'し', 'し', '尚早', 'する', '調査']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '37', '38', '42', '45', '65']
A026n_PN3d_00002-15	reltype=overlap	['同日', 'し', 'し']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '45', '65']
A026n_PN3d_00002-15	reltype=before	['同日', 'し', '的', 'さ', '政治']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '45', '49', '51', '58']
A026n_PN3d_00002-15	reltype=overlap	['同日', 'し', '批判']	[JSP]上院情報委員会のロバーツ委員長（共和党）は同日、ＣＮＮテレビで、「現段階で、情報がどのように扱われたか議会が調査するのは時期尚早」とし「問題が政治利用されるとすれば非生産的」と民主党を批判した。	['15', '45', '64']
A026n_PN3d_00002-18	reltype=overlap	['九', '日', '応じ']	[JSP]韓国の金泳三元大統領＝写真＝が九日、東京都内で産経新聞とのインタビューに応じた。	['12', '13', '25']
A027n_PN3e_00002-3	reltype=overlap	['２', '年度', 'さ', '消費']	[JSP]２００１年度に道内で消費されたブランデーの量。	['2', '6', '10', '11']
A027n_PN3e_00002-4	reltype=before	['前', '％', '減っ']	札幌国税局によると、不況による接待需要の減少などから前年度比１１．８％も減った。	['17', '26']
A027n_PN3e_00002-13	reltype=overlap	['今春', 'し', '人', '受け']	授業を受けたのは、今春高校を卒業した新入生二百二十八人。	['3', '8', '12', '19']
A027n_PN3e_00002-13	reltype=overlap	['今春', 'し', '卒業']	授業を受けたのは、今春高校を卒業した新入生二百二十八人。	['8', '11', '12']
A027n_PN3e_00002-21	reltype=after	['十', '日', 'し', '委', '開い']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['10', '13', '15', '16', '23']
A027n_PN3e_00002-21	reltype=after	['十', '日', 'し', '点', 'コンテスト', 'し', '合わせ']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['15', '16', '20', '23', '29', '35', '38']
A027n_PN3e_00002-21	reltype=after	['十', '日', 'し', '点', 'コンテスト', 'し', '募集']	[JSP]第五回小樽雪あかりの路を開いた実行委は十日、イベントに合わせて募集した「愛のフォトコンテスト」の入賞作品八点を発表した。	['15', '16', '22', '23', '29', '35', '38']
